id,session_id,rssi,ssid,timestamp,robot_id,loc_x,loc_y,rank,s_id
85,0709150823robot5,-82,zotack4,2015-07-09 15:08:27,robot5,4800,100,34.0,0709150823robot5
86,0709150823robot5,-82,zotacj3,2015-07-09 15:08:27,robot5,4800,100,35.0,0709150823robot5
87,0709150823robot5,-82,zotacj2,2015-07-09 15:08:27,robot5,4800,100,36.0,0709150823robot5
88,0709153504robot5,-62,zotacC2,2015-07-09 15:35:07,robot5,4800,100,0.0,0709153504robot5
89,0709153504robot5,-81,zotaci4,2015-07-09 15:35:07,robot5,4800,100,1.0,0709153504robot5
90,0709153504robot5,-60,zotacD1,2015-07-09 15:35:07,robot5,4800,100,2.0,0709153504robot5
91,0709153504robot5,-62,zotacD2,2015-07-09 15:35:07,robot5,4800,100,3.0,0709153504robot5
92,0709153504robot5,-66,zotacD4,2015-07-09 15:35:07,robot5,4800,100,4.0,0709153504robot5
93,0709153504robot5,-64,zotacB1,2015-07-09 15:35:07,robot5,4800,100,5.0,0709153504robot5
94,0709153504robot5,-74,zotacG2,2015-07-09 15:35:07,robot5,4800,100,6.0,0709153504robot5
95,0709153504robot5,-78,zotacH1,2015-07-09 15:35:07,robot5,4800,100,7.0,0709153504robot5
96,0709153504robot5,-76,zotacH1,2015-07-09 15:35:07,robot5,4800,100,8.0,0709153504robot5
97,0709153504robot5,-75,zotacG1,2015-07-09 15:35:08,robot5,4800,100,9.0,0709153504robot5
98,0709153504robot5,-78,zotacG4,2015-07-09 15:35:08,robot5,4800,100,10.0,0709153504robot5
99,0709153504robot5,-73,zotaci1,2015-07-09 15:35:08,robot5,4800,100,11.0,0709153504robot5
100,0709153504robot5,-68,zotacH3,2015-07-09 15:35:08,robot5,4800,100,12.0,0709153504robot5
101,0709153504robot5,-86,zotacj1,2015-07-09 15:35:08,robot5,4800,100,13.0,0709153504robot5
102,0709153504robot5,-80,zotaci2,2015-07-09 15:35:08,robot5,4800,100,14.0,0709153504robot5
103,0709153504robot5,-67,zotacB4,2015-07-09 15:35:08,robot5,4800,100,15.0,0709153504robot5
104,0709153504robot5,-60,zotacC1,2015-07-09 15:35:08,robot5,4800,100,16.0,0709153504robot5
105,0709153504robot5,-68,zotacC3,2015-07-09 15:35:08,robot5,4800,100,17.0,0709153504robot5
106,0709153504robot5,-63,zotacE3,2015-07-09 15:35:08,robot5,4800,100,18.0,0709153504robot5
107,0709153504robot5,-65,zotacE1,2015-07-09 15:35:08,robot5,4800,100,19.0,0709153504robot5
108,0709153504robot5,-75,zotacE4,2015-07-09 15:35:08,robot5,4800,100,20.0,0709153504robot5
109,0709153504robot5,-69,zotacF1,2015-07-09 15:35:08,robot5,4800,100,21.0,0709153504robot5
110,0709153504robot5,-69,zotacF3,2015-07-09 15:35:08,robot5,4800,100,22.0,0709153504robot5
111,0709153504robot5,-82,zotacF4,2015-07-09 15:35:08,robot5,4800,100,23.0,0709153504robot5
112,0709153504robot5,-71,zotacF2,2015-07-09 15:35:08,robot5,4800,100,24.0,0709153504robot5
113,0709153504robot5,-73,zotacG3,2015-07-09 15:35:08,robot5,4800,100,25.0,0709153504robot5
114,0709153504robot5,-83,zotacj4,2015-07-09 15:35:08,robot5,4800,100,26.0,0709153504robot5
115,0709153504robot5,-86,zotack2,2015-07-09 15:35:08,robot5,4800,100,27.0,0709153504robot5
116,0709153504robot5,-83,zotack3,2015-07-09 15:35:08,robot5,4800,100,28.0,0709153504robot5
117,0709153504robot5,-77,zotacj3,2015-07-09 15:35:08,robot5,4800,100,29.0,0709153504robot5
118,0709153504robot5,-75,zotacj2,2015-07-09 15:35:08,robot5,4800,100,30.0,0709153504robot5
119,0709153504robot5,-66,zotacD3,2015-07-09 15:35:08,robot5,4800,100,31.0,0709153504robot5
120,0709153504robot5,-81,zotack4,2015-07-09 15:35:08,robot5,4800,100,32.0,0709153504robot5
121,0709153504robot5,-64,zotacB3,2015-07-09 15:35:08,robot5,4800,100,33.0,0709153504robot5
122,0709153504robot5,-83,zotack1,2015-07-09 15:35:08,robot5,4800,100,34.0,0709153504robot5
123,0709154102robot5,-57,zotacC2,2015-07-09 15:41:06,robot5,4782,216,0.0,0709154102robot5
124,0709154102robot5,-79,zotaci4,2015-07-09 15:41:06,robot5,4782,216,1.0,0709154102robot5
125,0709154102robot5,-61,zotacD1,2015-07-09 15:41:06,robot5,4782,216,2.0,0709154102robot5
126,0709154102robot5,-60,zotacD2,2015-07-09 15:41:06,robot5,4782,216,3.0,0709154102robot5
127,0709154102robot5,-66,zotacD4,2015-07-09 15:41:06,robot5,4782,216,4.0,0709154102robot5
128,0709154102robot5,-62,zotacB1,2015-07-09 15:41:06,robot5,4782,216,5.0,0709154102robot5
129,0709154102robot5,-73,zotacG2,2015-07-09 15:41:06,robot5,4782,216,6.0,0709154102robot5
130,0709154102robot5,-78,zotacH1,2015-07-09 15:41:06,robot5,4782,216,7.0,0709154102robot5
131,0709154102robot5,-78,zotacH1,2015-07-09 15:41:06,robot5,4782,216,8.0,0709154102robot5
132,0709154102robot5,-75,zotacG1,2015-07-09 15:41:06,robot5,4782,216,9.0,0709154102robot5
133,0709154102robot5,-75,zotacG4,2015-07-09 15:41:06,robot5,4782,216,10.0,0709154102robot5
134,0709154102robot5,-80,zotaci1,2015-07-09 15:41:06,robot5,4782,216,11.0,0709154102robot5
135,0709154102robot5,-77,zotacH3,2015-07-09 15:41:06,robot5,4782,216,12.0,0709154102robot5
136,0709154102robot5,-82,zotacj1,2015-07-09 15:41:06,robot5,4782,216,13.0,0709154102robot5
137,0709154102robot5,-70,zotaci2,2015-07-09 15:41:06,robot5,4782,216,14.0,0709154102robot5
